Title,Primary Image URL,Availability,Roast Type,Flavour Notes,Region,Varietal,Process,Altitude,Vendor,Product Type,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability
Worka Nenke Yirgacheffe,https://cdn.shopify.com/s/files/1/3006/6212/files/Worka-Nenke-Yirgacheffe-250g.jpg?v=1722492137,Available,omni,Raspberry. Dried Peach. Cantaloupe. Muscovado,"SNNPR, Gediyo, Worka",74110 (Heirloom),Natural & Sun-Dried on Raised Beds,1983 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,22.00,Available
Worka Nenke Yirgacheffe,https://cdn.shopify.com/s/files/1/3006/6212/files/Worka-Nenke-Yirgacheffe-250g.jpg?v=1722492137,Available,omni,Raspberry. Dried Peach. Cantaloupe. Muscovado,"SNNPR, Gediyo, Worka",74110 (Heirloom),Natural & Sun-Dried on Raised Beds,1983 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,79.20,Available
Midnight Run,https://cdn.shopify.com/s/files/1/3006/6212/files/Midnight-Run-250g.jpg?v=1695694985,Available,espresso,Brown Sugar. Red Dates. Goji Berry.,Mexico,"Typica, Marsellesa, Bourbon",Fully Washed & Decaffeinated,1250 - 1700 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,22.00,Available
Midnight Run,https://cdn.shopify.com/s/files/1/3006/6212/files/Midnight-Run-250g.jpg?v=1695694985,Available,espresso,Brown Sugar. Red Dates. Goji Berry.,Mexico,"Typica, Marsellesa, Bourbon",Fully Washed & Decaffeinated,1250 - 1700 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,79.20,Available
AB Kathima #082,https://cdn.shopify.com/s/files/1/3006/6212/files/AB-Kathima-_082-250g.jpg?v=1727678442,Available,filter,Juicy Apple. Rhubarb. Goji Berry. Red Berries,Embu Town,"Ruiru 11, SL 28, Batian",Fully Washed,1500 - 1800 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,25.00,Available
AB Kathima #082,https://cdn.shopify.com/s/files/1/3006/6212/files/AB-Kathima-_082-250g.jpg?v=1727678442,Available,filter,Juicy Apple. Rhubarb. Goji Berry. Red Berries,Embu Town,"Ruiru 11, SL 28, Batian",Fully Washed,1500 - 1800 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,90.00,Available
Esteban Pillimue,https://cdn.shopify.com/s/files/1/3006/6212/files/Esteban-Pillimue_Mockup-250g.jpg?v=1726022920,Available,filter,Lemon Candy. Yellow Kiwi. Pineapple Jelly,Cauca,Chiroso,Fully Washed,1800 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,25.00,Available
Esteban Pillimue,https://cdn.shopify.com/s/files/1/3006/6212/files/Esteban-Pillimue_Mockup-250g.jpg?v=1726022920,Available,filter,Lemon Candy. Yellow Kiwi. Pineapple Jelly,Cauca,Chiroso,Fully Washed,1800 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,90.00,Available
Coffee Taster's Pack: Staple Single Origin Edition,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-Box_13b8bbda-876f-4b2d-a896-c1dcca5877f6.jpg?v=1729251214,Available,,,,Rio Brilhante Arara,,Esteban Pillimue,Dutch Colony Coffee Co.,Single Origin,5x50g,Whole Bean,,29.90,Available
Neyid Pillimue,https://cdn.shopify.com/s/files/1/3006/6212/files/s.jpg?v=1735803898,Available,espresso,Blood Orange. Cherry. Guava,Cauca,Colombia & Caturra,Fully Washed,1900 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,22.00,Available
Neyid Pillimue,https://cdn.shopify.com/s/files/1/3006/6212/files/s.jpg?v=1735803898,Available,espresso,Blood Orange. Cherry. Guava,Cauca,Colombia & Caturra,Fully Washed,1900 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,79.20,Available
Katapult,https://cdn.shopify.com/s/files/1/3006/6212/files/K-250g.jpg?v=1734928812,Available,espresso,'numero undici',,,,,Dutch Colony Coffee Co.,Blend,250g,Whole Bean,,22.00,Available
Katapult,https://cdn.shopify.com/s/files/1/3006/6212/files/K-250g.jpg?v=1734928812,Available,espresso,'numero undici',,,,,Dutch Colony Coffee Co.,Blend,1kg,Whole Bean,,79.20,Available
Aquiares Estate,https://cdn.shopify.com/s/files/1/3006/6212/files/AE250g.jpg?v=1731938474,Available,omni,Caramelised Pineapple. Peach. Honey Melon.,"Turrialba, Aquiares",Caturra,Natural,800- 1400 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,25.00,Available
Aquiares Estate Centroamericano,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-CA.jpg?v=1734927176,Available,filter,Gingerflower. Spearmint. Cinnamon Sugar.,"Turrialba, Aquiares",Centroamericano,Co-Fermented Eucalyptus,1200- 1400 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,25.00,Available
Festive,https://cdn.shopify.com/s/files/1/3006/6212/files/F-250g_a838d813-2c02-41d0-baa0-ab2289b86044.jpg?v=1736306772,Available,espresso,Muscat Grape. Apricot. Orange Chiffon. Lemon Loaf.,,,,,Dutch Colony Coffee Co.,Blend,250g,Whole Bean,,22.00,Available
