Handle,Primary Image URL,Availability,Tasting Notes,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability,Producer,Region,Variety,Altitude,Harvest,Processing,Brewing
lomas-altas-guatemala,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_LomasAltas.png?v=1710950512,Available,"Milk Chocolate, Pear and Ripe Cherry",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
lomas-altas-guatemala,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_LomasAltas.png?v=1710950512,Available,"Milk Chocolate, Pear and Ripe Cherry",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
santo-antonio-brazil,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SantoAntonio.png?v=1710950459,Available,"Dark Chocolate, Cacao and Nougat",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
santo-antonio-brazil,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SantoAntonio.png?v=1710950459,Available,"Dark Chocolate, Cacao and Nougat",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
sao-paulo-brazil,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SaoPaulo.png?v=1680802079,Available,"Toffee, Walnut, and Brown Sugar",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
sao-paulo-brazil,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SaoPaulo.png?v=1680802079,Available,"Toffee, Walnut, and Brown Sugar",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
limu-nano-chala-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_NanoChalaG1.png?v=1729157141,Available,"Black Tea, Lime, Citrus",250g,Filter Roast,Whole Beans,20.50,Available,Duromina Primary Cooperative,"Oromia, Gera, Nano Chala","74110, 74112",2000 - 2050 MASL,,Washed,
limu-nano-chala-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_NanoChalaG1.png?v=1729157141,Available,"Black Tea, Lime, Citrus",250g,Espresso Roast,Whole Beans,20.50,Available,Duromina Primary Cooperative,"Oromia, Gera, Nano Chala","74110, 74112",2000 - 2050 MASL,,Washed,
limu-nano-chala-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_NanoChalaG1.png?v=1729157141,Available,"Black Tea, Lime, Citrus",1kg,Filter Roast,Whole Beans,62.00,Available,Duromina Primary Cooperative,"Oromia, Gera, Nano Chala","74110, 74112",2000 - 2050 MASL,,Washed,
limu-nano-chala-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_NanoChalaG1.png?v=1729157141,Available,"Black Tea, Lime, Citrus",1kg,Espresso Roast,Whole Beans,62.00,Available,Duromina Primary Cooperative,"Oromia, Gera, Nano Chala","74110, 74112",2000 - 2050 MASL,,Washed,
djimmah-jarso-natural-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_DjimmahG1.png?v=1729160286,Available,"Berry, Floral, Brown Sugar",250g,Espresso Roast,Whole Beans,20.50,Available,Mustefa Abakeno,"Oromia, Beshasha, Jarso","74110, 74112",2000 - 2015 MASL,,Natural,
djimmah-jarso-natural-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_DjimmahG1.png?v=1729160286,Available,"Berry, Floral, Brown Sugar",1kg,Espresso Roast,Whole Beans,62.00,Available,Mustefa Abakeno,"Oromia, Beshasha, Jarso","74110, 74112",2000 - 2015 MASL,,Natural,
ton-nam-thailand,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_TonNam.png?v=1729239137,Available,"Brown Sugar, Stonefruit, Berry",250g,Filter Roast,Whole Beans,20.50,Available,"Inthirit ""Kon Pangkhon"" Wuiyaku, Beanspire",Chiang Rai,"Catuai, Typica, Chiang Mai",1450 MASL,,Kenya-Style Washed,
ton-nam-thailand,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_TonNam.png?v=1729239137,Available,"Brown Sugar, Stonefruit, Berry",250g,Espresso Roast,Whole Beans,20.50,Available,"Inthirit ""Kon Pangkhon"" Wuiyaku, Beanspire",Chiang Rai,"Catuai, Typica, Chiang Mai",1450 MASL,,Kenya-Style Washed,
ton-nam-thailand,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_TonNam.png?v=1729239137,Available,"Brown Sugar, Stonefruit, Berry",1kg,Filter Roast,Whole Beans,62.00,Available,"Inthirit ""Kon Pangkhon"" Wuiyaku, Beanspire",Chiang Rai,"Catuai, Typica, Chiang Mai",1450 MASL,,Kenya-Style Washed,
ton-nam-thailand,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_TonNam.png?v=1729239137,Available,"Brown Sugar, Stonefruit, Berry",1kg,Espresso Roast,Whole Beans,62.00,Available,"Inthirit ""Kon Pangkhon"" Wuiyaku, Beanspire",Chiang Rai,"Catuai, Typica, Chiang Mai",1450 MASL,,Kenya-Style Washed,
