Title,Primary Image URL,Availability,Roast Type,Flavour Notes,Region,Varietal,Process,Altitude,Vendor,Product Type,Tags,Cup Characteristics,Origins,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability,Grams
El Salvador 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-elsalvador-3.jpg?v=1684312982,Available,,,,Pacas / Red Bourbon,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Subscription","Caramel, Apple Sweetness, Heavy Body",,Whole Bean,,,59.00,Available,1000
Old Friends 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-oldfriends-3.jpg?v=1684313074,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Subscription","Floral, Fruity, Well-Bodied",Ethiopia + Indonesia,Whole Bean,,,59.00,Available,1
Bold As Love 2kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/products/boldaslove2kg-2.jpg?v=1672386649,Available,,,,,,,Jewel Coffee,Coffee Beans,Blend,"Chocolate, Big Mouthfeel, Smooth","Brazil, Sumatra",2kg,Whole Bean,,99.90,Available,2000
Cafe Monza Forte Blend 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-forte-3.jpg?v=1682881047,Available,,,,,,,Cafe Monza,Coffee Beans,"Cafe Monza, Coffee Beans 250g, Dark Roast, Subscription","Dark Sugars, Smoky, Heavy Body, Low Acidity, Smooth Coffee Roast Type: Dark Roast",,250g,Whole Bean,,12.90,Available,1000
Lightning Bolt 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/JCBeans-17.png?v=1717049920,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Dark Chocolate, Hazelnut, Cherry","Brazil, Peru",Whole Bean,,,18.00,Available,250
Alpha Red 2kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/products/alphared2kg-2.jpg?v=1672386621,Available,,,,,,,Jewel Coffee,Coffee Beans,Blend,"Floral, Round Body, Cherry & Toffee",El Salvador + Ethiopia + Indonesia,2kg,Whole Bean,,99.90,Available,2000
Cafe Monza Veloce Blend 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-veloce-3.jpg?v=1682881666,Available,,,,,,,Cafe Monza,Coffee Beans,"Cafe Monza, Coffee Beans 250g, Dark Roast, Subscription","Chocolate, Caramel, Hazelnut Coffee Roast Type: Dark Roast",,250g,Whole Bean,,12.90,Available,1000
Cafe Monza Ottimo Blend 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-ottimo-3.jpg?v=1682880035,Available,,,,,,,Cafe Monza,Coffee Beans,"Cafe Monza, Coffee Beans 1kg, Dark Roast, Subscription","Clove, Dark Chocolate",,1kg,Whole Bean,,29.90,Available,1000
Pearl Gem 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-pearlgem-3.jpg?v=1684313174,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Subscription","Vibrant, Complex, Silky Smooth",Central America + East Africa,Whole Bean,,,59.00,Available,1
Christmas Blend 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-christmasblend-3.jpg?v=1684309954,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Seasonal Blend, Subscription","Dark Cocoa, Cherry",Brazil + Ethiopia + Sumatra Blend available till 31 Dec 2023 or while stocks last.,Whole Bean,,,59.00,Available,1000
Cafe Monza Ottimo Blend 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-ottimo-3.jpg?v=1682881937,Available,,,,,,,Cafe Monza,Coffee Beans,"Cafe Monza, Coffee Beans 250g, Dark Roast, Subscription","Clove, Dark Chocolate",,250g,Whole Bean,,12.90,Available,1000
Decaf Colombia 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-decafcolombia-3.jpg?v=1684312938,Available,,,,Mixed,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Subscription","Tart Fruit, Nutty, Dark Cocoa",,Whole Bean,,,59.00,Available,1000
