Title,Weight,Vendor,Price,Flavour Notes,Region,Roast Type,Variety,Process,Image URL,Min Elevation,Max Elevation,Brewing,Producer,Availability,Harvest,Country
Fernando Alfaro El Cocal El Salvador,250,Common Man Coffee Roasters,21,"Jammy Blackberry, Cacao Nibs, Passionfruit","Ataco, Apaneca",Filter,"Bourbon, Pacas",Anaerobic Natural,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_FernandoAlfaroElCocal.png?v=1740466801,1300,1300,Filter Roast,Fernando Alfaro,Available,,El Salvador
Fernando Alfaro El Cocal El Salvador,250,Common Man Coffee Roasters,21,"Jammy Blackberry, Cacao Nibs, Passionfruit","Ataco, Apaneca",Espresso,"Bourbon, Pacas",Anaerobic Natural,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_FernandoAlfaroElCocal.png?v=1740466801,1300,1300,Espresso Roast,Fernando Alfaro,Available,,El Salvador
Fernando Alfaro El Cocal El Salvador,,Common Man Coffee Roasters,63,"Jammy Blackberry, Cacao Nibs, Passionfruit","Ataco, Apaneca",Filter,"Bourbon, Pacas",Anaerobic Natural,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_FernandoAlfaroElCocal.png?v=1740466801,1300,1300,Filter Roast,Fernando Alfaro,Available,,El Salvador
Fernando Alfaro El Cocal El Salvador,,Common Man Coffee Roasters,63,"Jammy Blackberry, Cacao Nibs, Passionfruit","Ataco, Apaneca",Espresso,"Bourbon, Pacas",Anaerobic Natural,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_FernandoAlfaroElCocal.png?v=1740466801,1300,1300,Espresso Roast,Fernando Alfaro,Available,,El Salvador
Huai Chomphu Thailand,250,Common Man Coffee Roasters,22,"Stewed Fruit, Hawflake Sweet, Brown Sugar",Chiang Rai,Filter,"Catuai, Typica, Chiang Mai, SJ133",Anaerobic Black Honey,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,1450,1450,Filter Roast,"Stidkhun Wuiyaku, Beanspire",Available,,Thailand
Huai Chomphu Thailand,250,Common Man Coffee Roasters,22,"Stewed Fruit, Hawflake Sweet, Brown Sugar",Chiang Rai,Espresso,"Catuai, Typica, Chiang Mai, SJ133",Anaerobic Black Honey,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,1450,1450,Espresso Roast,"Stidkhun Wuiyaku, Beanspire",Available,,Thailand
La Colina Guatemala,250,Common Man Coffee Roasters,19.5,"Berry, Plum, Brown Sugar",Chimaltenango,Espresso,Caturra,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/LaColina_250gWebBadge.png?v=1725348847,1700,1700,Espresso Roast,Tony Medina,Available,,Guatemala
La Colina Guatemala,,Common Man Coffee Roasters,59,"Berry, Plum, Brown Sugar",Chimaltenango,Espresso,Caturra,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/LaColina_250gWebBadge.png?v=1725348847,1700,1700,Espresso Roast,Tony Medina,Available,,Guatemala
Piendamo Colombia,,Common Man Coffee Roasters,59,"Grapefruit, Blackberry, Stonefruits",Cauca,Espresso,Mixed,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/PIENDAMO_COLOMBIA.png?v=1719799397,1700,2100,Espresso Roast,Smallholders,Available,,Colombia
Piendamo Colombia,250,Common Man Coffee Roasters,19.5,"Grapefruit, Blackberry, Stonefruits",Cauca,Espresso,Mixed,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/PIENDAMO_COLOMBIA.png?v=1719799397,1700,2100,Espresso Roast,Smallholders,Available,,Colombia
Cuilco Huehuetenango Guatemala,250,Common Man Coffee Roasters,20.5,"Plum, Red Grape, Panela",Huehuetenango,Espresso,Mixed Varieties,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_CuilcoHuehuetenango.png?v=1740466692,2200,2200,Espresso Roast,Smallholders,Available,,Guatemala
Cuilco Huehuetenango Guatemala,,Common Man Coffee Roasters,62,"Plum, Red Grape, Panela",Huehuetenango,Espresso,Mixed Varieties,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_CuilcoHuehuetenango.png?v=1740466692,2200,2200,Espresso Roast,Smallholders,Available,,Guatemala
Cuilco Huehuetenango Guatemala,250,Common Man Coffee Roasters,20.5,"Plum, Red Grape, Panela",Huehuetenango,Filter,Mixed Varieties,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_CuilcoHuehuetenango.png?v=1740466692,2200,2200,Filter Roast,Smallholders,Available,,Guatemala
Cuilco Huehuetenango Guatemala,,Common Man Coffee Roasters,62,"Plum, Red Grape, Panela",Huehuetenango,Filter,Mixed Varieties,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/CMCR_250g_CuilcoHuehuetenango.png?v=1740466692,2200,2200,Filter Roast,Smallholders,Available,,Guatemala
Nyamurinda Rwanda,250,Common Man Coffee Roasters,24,"Black Berry, Blackcurrant, Lemon Juice","Mubuga, Karongi",Filter,Red Bourbon,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,1800,2000,Filter Roast,Nyamurinda Coffee Growers Ltd,Available,,Rwanda
Nyamurinda Rwanda,250,Common Man Coffee Roasters,24,"Black Berry, Blackcurrant, Lemon Juice","Mubuga, Karongi",Espresso,Red Bourbon,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,1800,2000,Espresso Roast,Nyamurinda Coffee Growers Ltd,Available,,Rwanda
Paola Trujillo Colombia,,Common Man Coffee Roasters,25,"Floral, Blackberry, Lime","Caldono, Cauca",Filter,Wush Wush,Washed,https://cdn.shopify.com/s/files/1/1000/4780/files/PaolaTrujillo.png?v=1736307487,1570,1570,Filter Roast,Paola Trujillo,Available,,Colombia
